,date,state,retail,grocery,parks,transit,workplaces,residential,cases,deaths,daily_new_cases,daily_new_deaths
50,2020-05-01,AK,-10.75,7.0,9.0,-40.333333333333336,-27.545454545454547,11.75,362,7,9.0,0.0
51,2020-05-02,AK,-6.25,14.25,133.0,-39.666666666666664,-19.833333333333332,4.666666666666667,363,7,1.0,0.0
52,2020-05-03,AK,-2.6666666666666665,9.0,162.0,-55.0,-22.2,4.0,366,7,3.0,0.0
53,2020-05-04,AK,-4.666666666666667,2.75,55.0,-41.0,-26.636363636363637,10.75,368,7,2.0,0.0
54,2020-05-05,AK,0.25,9.0,116.0,-42.333333333333336,-26.636363636363637,10.5,369,7,1.0,0.0
55,2020-05-06,AK,0.5,7.0,142.0,-39.666666666666664,-27.545454545454547,10.75,370,8,1.0,1.0
56,2020-05-07,AK,-6.0,4.5,78.0,-39.666666666666664,-28.0,11.5,373,8,3.0,0.0
57,2020-05-08,AK,-7.0,5.75,16.0,-41.333333333333336,-25.272727272727273,11.25,376,8,3.0,0.0
58,2020-05-09,AK,1.75,26.25,153.0,-40.666666666666664,-18.5,2.6666666666666665,377,8,1.0,0.0
59,2020-05-10,AK,8.666666666666666,27.0,,-52.666666666666664,-19.4,1.0,378,8,1.0,0.0
60,2020-05-11,AK,-2.0,2.0,64.0,-37.666666666666664,-24.818181818181817,9.25,380,8,2.0,0.0
61,2020-05-12,AK,0.5,2.75,143.0,-39.333333333333336,-23.90909090909091,10.0,383,8,3.0,0.0
62,2020-05-13,AK,6.25,9.5,163.0,-38.0,-24.0,9.0,383,8,0.0,0.0
63,2020-05-14,AK,-4.4,8.0,35.0,-37.333333333333336,-24.272727272727273,9.5,387,8,4.0,0.0
64,2020-05-15,AK,-2.6,8.25,53.5,-34.666666666666664,-21.818181818181817,7.5,388,8,1.0,0.0
65,2020-05-16,AK,-0.8,19.5,160.0,-39.0,-14.666666666666666,1.6666666666666667,392,8,4.0,0.0
66,2020-05-17,AK,12.0,15.333333333333334,,-45.333333333333336,-14.4,0.0,396,8,4.0,0.0
67,2020-05-18,AK,1.8,5.5,82.0,-36.0,-24.0,8.0,399,8,3.0,0.0
68,2020-05-19,AK,0.2,8.5,103.0,-37.0,-21.90909090909091,8.5,399,8,0.0,0.0
69,2020-05-20,AK,4.6,13.75,123.0,-33.0,-22.181818181818183,8.25,402,8,3.0,0.0
70,2020-05-21,AK,1.6,14.0,54.0,-29.666666666666668,-22.0,8.75,402,8,0.0,0.0
71,2020-05-22,AK,2.0,17.0,18.0,-30.333333333333332,-24.0,8.0,404,8,2.0,0.0
72,2020-05-23,AK,2.0,14.333333333333334,90.0,-32.333333333333336,-15.666666666666666,0.3333333333333333,409,8,5.0,0.0
73,2020-05-24,AK,16.4,13.333333333333334,65.0,-52.0,-16.8,0.5,409,8,0.0,0.0
74,2020-05-25,AK,-8.8,6.75,130.0,-49.333333333333336,-58.666666666666664,16.666666666666668,412,8,3.0,0.0
75,2020-05-26,AK,5.8,11.5,92.0,-27.666666666666668,-20.90909090909091,7.5,416,8,4.0,0.0
76,2020-05-27,AK,6.6,12.5,176.0,-28.0,-20.09090909090909,6.25,417,8,1.0,0.0
77,2020-05-28,AK,8.2,18.0,61.5,-22.666666666666668,-21.0,6.25,430,8,13.0,0.0
78,2020-05-29,AK,4.0,13.25,50.0,-29.0,-17.0,6.0,436,8,6.0,0.0
79,2020-05-30,AK,6.8,12.333333333333334,104.0,-27.0,-8.5,0.3333333333333333,441,8,5.0,0.0
80,2020-05-31,AK,15.6,15.666666666666666,,-38.666666666666664,-7.0,0.0,469,8,28.0,0.0
81,2020-06-01,AK,12.6,19.0,108.0,-20.666666666666668,-19.1,4.75,476,8,7.0,0.0
82,2020-06-02,AK,9.6,16.5,109.0,-24.666666666666668,-19.181818181818183,6.75,497,8,21.0,0.0
83,2020-06-03,AK,13.2,17.25,139.0,-23.0,-19.181818181818183,6.25,516,8,19.0,0.0
84,2020-06-04,AK,9.6,17.75,57.5,-20.666666666666668,-19.90909090909091,6.0,542,8,26.0,0.0
85,2020-06-05,AK,7.2,17.0,54.5,-25.333333333333332,-19.545454545454547,4.75,565,8,23.0,0.0
86,2020-06-06,AK,12.6,17.0,161.0,-23.333333333333332,-10.333333333333334,-0.6666666666666666,579,8,14.0,0.0
87,2020-06-07,AK,23.2,21.0,,-34.0,-8.0,-2.0,588,8,9.0,0.0
88,2020-06-08,AK,8.2,9.0,36.0,-16.0,-18.7,5.75,607,8,19.0,0.0
89,2020-06-09,AK,10.4,12.75,70.0,-30.0,-19.636363636363637,7.0,620,9,13.0,1.0
90,2020-06-10,AK,15.4,19.0,161.0,-21.333333333333332,-18.818181818181817,5.0,642,9,22.0,0.0
91,2020-06-11,AK,14.6,19.75,71.0,-13.666666666666666,-18.09090909090909,4.75,666,9,24.0,0.0
92,2020-06-12,AK,11.4,20.0,67.5,-20.0,-20.181818181818183,4.0,688,10,22.0,1.0
93,2020-06-13,AK,16.4,15.333333333333334,177.0,-18.333333333333332,-8.5,-2.0,722,10,34.0,0.0
94,2020-06-14,AK,29.4,20.0,,-29.666666666666668,-8.2,-3.0,734,10,12.0,0.0
95,2020-06-15,AK,18.2,16.75,156.0,-22.0,-20.5,4.25,738,10,4.0,0.0
96,2020-06-16,AK,14.2,16.25,159.0,-21.666666666666668,-20.09090909090909,5.25,751,10,13.0,0.0
97,2020-06-17,AK,17.0,18.5,115.0,-18.333333333333332,-19.90909090909091,5.5,776,10,25.0,0.0
98,2020-06-18,AK,11.6,18.25,139.0,-17.0,-21.0,5.25,795,10,19.0,0.0
99,2020-06-19,AK,9.8,15.5,13.0,-23.666666666666668,-20.454545454545453,5.25,821,10,26.0,0.0
100,2020-06-20,AK,11.8,15.666666666666666,144.0,-23.666666666666668,-11.833333333333334,-0.3333333333333333,845,10,24.0,0.0
101,2020-06-21,AK,25.8,20.666666666666668,,-27.333333333333332,-8.2,-3.0,859,10,14.0,0.0
102,2020-06-22,AK,14.0,10.75,141.0,-15.0,-23.545454545454547,4.75,869,10,10.0,0.0
103,2020-06-23,AK,14.2,12.5,111.0,-16.0,-21.818181818181817,6.25,905,10,36.0,0.0
104,2020-06-24,AK,17.4,19.25,122.0,-18.0,-21.454545454545453,5.5,926,10,21.0,0.0
105,2020-06-25,AK,14.8,19.75,152.0,-12.0,-20.90909090909091,4.5,971,10,45.0,0.0
106,2020-06-26,AK,10.4,15.0,91.0,-17.666666666666668,-19.272727272727273,4.5,1001,12,30.0,2.0
107,2020-06-27,AK,15.2,15.0,195.0,-13.333333333333334,-13.0,-2.0,1027,12,26.0,0.0
108,2020-06-28,AK,22.0,9.666666666666666,96.0,-24.0,-7.4,-0.3333333333333333,1060,12,33.0,0.0
109,2020-06-29,AK,16.2,15.25,107.0,-18.0,-20.2,4.5,1085,12,25.0,0.0
110,2020-06-30,AK,22.6,21.5,159.0,-16.5,-19.727272727272727,4.5,1132,12,47.0,0.0
111,2020-07-01,AK,37.0,40.0,171.0,-4.0,-20.545454545454547,2.75,1174,12,42.0,0.0
112,2020-07-02,AK,34.6,44.75,157.0,-3.3333333333333335,-24.727272727272727,2.25,1224,12,50.0,0.0
113,2020-07-03,AK,22.2,41.5,165.0,-24.5,-46.63636363636363,6.75,1284,13,60.0,1.0
114,2020-07-04,AK,-8.0,18.666666666666668,162.0,-23.666666666666668,-26.5,-1.6666666666666667,1339,14,55.0,1.0
115,2020-07-05,AK,30.0,15.666666666666666,,-11.0,-13.2,-5.0,1371,14,32.0,0.0
116,2020-07-06,AK,24.2,22.25,112.0,-9.0,-28.0,5.5,1401,14,30.0,0.0
117,2020-07-07,AK,21.2,20.75,142.0,-15.0,-23.181818181818183,5.25,1423,15,22.0,1.0
118,2020-07-08,AK,18.8,22.0,23.0,-7.0,-22.454545454545453,6.75,1472,15,49.0,0.0
119,2020-07-09,AK,18.2,22.0,52.0,-6.0,-23.09090909090909,5.75,1521,15,49.0,0.0
120,2020-07-10,AK,15.0,18.75,147.0,-12.0,-22.09090909090909,5.0,1579,15,58.0,0.0
121,2020-07-11,AK,17.6,12.666666666666666,91.0,-14.5,-10.666666666666666,0.3333333333333333,1656,15,77.0,0.0
122,2020-07-12,AK,32.8,17.666666666666668,145.0,-13.666666666666666,-7.2,-1.0,1772,15,116.0,0.0
123,2020-07-13,AK,23.6,19.5,,-4.333333333333333,-24.1,3.75,1843,15,71.0,0.0
124,2020-07-14,AK,25.4,22.75,193.0,-10.0,-25.3,4.25,1897,15,54.0,0.0
125,2020-07-15,AK,28.6,30.0,185.0,-6.666666666666667,-22.818181818181817,4.25,1958,15,61.0,0.0
126,2020-07-16,AK,24.0,29.25,143.0,-4.0,-23.0,4.75,2034,15,76.0,0.0
127,2020-07-17,AK,16.8,23.75,24.5,-7.333333333333333,-22.363636363636363,5.25,2083,15,49.0,0.0
128,2020-07-18,AK,22.4,12.666666666666666,141.0,-7.333333333333333,-12.0,-0.3333333333333333,2157,16,74.0,1.0
129,2020-07-19,AK,37.6,15.666666666666666,129.0,-9.333333333333334,-7.4,-1.6666666666666667,2275,16,118.0,0.0
130,2020-07-20,AK,25.4,24.75,148.0,-6.333333333333333,-24.1,3.5,2412,16,137.0,0.0
131,2020-07-21,AK,27.4,27.5,172.0,-15.0,-23.7,4.5,2523,16,111.0,0.0
132,2020-03-13,AL,8.112903225806452,28.095238095238095,23.0,7.142857142857143,-0.29850746268656714,-0.19444444444444445,6,0,-2517.0,-16.0
133,2020-03-14,AL,7.140350877192983,28.35483870967742,61.8,13.631578947368421,3.96,-0.38095238095238093,12,0,6.0,0.0
134,2020-03-15,AL,-1.5925925925925926,16.783333333333335,1.6875,7.333333333333333,-2.9591836734693877,2.5,23,0,11.0,0.0
135,2020-03-16,AL,1.7857142857142858,22.716666666666665,13.307692307692308,2.142857142857143,-6.358208955223881,3.5,29,0,6.0,0.0
136,2020-03-17,AL,-5.803571428571429,15.754098360655737,27.363636363636363,1.1904761904761905,-12.597014925373134,5.833333333333333,39,0,10.0,0.0
